t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch
0,0.030080556869506836,0.5667065382003784,0.0,0.0,-0.059673696756362915,0.018824409693479538,0.2870475947856903,-3.137068033218384,-0.0030381004326045513
1,0.2581009864807129,0.5667065382003784,0.0,0.0,-0.05375422164797783,0.013164089061319828,0.11016161739826202,-3.1260480880737305,-0.022428330034017563
2,0.2928450107574463,0.5667065382003784,0.0,0.0,-0.05251684784889221,0.0076215541921556,0.027935417369008064,-3.11429762840271,-0.0442078560590744
3,0.3377368450164795,0.5667065382003784,0.0,0.0,-0.045295365154743195,0.0024978399742394686,0.08522071689367294,-3.106045722961426,-0.06222696974873543
4,0.3537712097167969,0.5667065382003784,0.0,0.0,-0.0330500453710556,-0.0012026075273752213,0.2199370563030243,-3.101416826248169,-0.07604479789733887
5,0.40028882026672363,0.5667065382003784,0.0,0.0,-0.010152297094464302,-0.006241712719202042,0.36661088466644287,-3.0993549823760986,-0.08729079365730286
6,0.4148733615875244,0.5667065382003784,0.0,0.0,0.00789037998765707,-0.00730995275080204,0.4860079288482666,-3.1014788150787354,-0.09597528725862503
7,0.5377233028411865,0.5667065382003784,0.0,0.0,0.018203558400273323,-0.005519937723875046,0.550140380859375,-3.106248617172241,-0.09627386182546616
8,0.5501120090484619,0.5667065382003784,0.0,0.0,0.011511897668242455,0.0001310240477323532,0.4823232591152191,-3.114093065261841,-0.0827680379152298
9,0.5854978561401367,0.5667065382003784,0.0,0.0,-0.056588903069496155,0.009430142119526863,0.4426131546497345,-3.123075485229492,-0.046503566205501556
10,0.6018803119659424,0.5667065382003784,0.0,0.0,0.007759586442261934,-0.13273806869983673,-0.10090626031160355,-3.1034436225891113,-0.004734555725008249
11,0.6355528831481934,0.5667065382003784,0.0,0.0,-0.019607029855251312,-0.07326348125934601,-0.09660009294748306,-3.0628108978271484,-0.0038963635452091694
12,0.6545343399047852,0.5667065382003784,0.0,0.0,-0.038695402443408966,-0.00041281606536358595,-0.04264432564377785,-3.0511133670806885,-0.0029672689270228148
13,0.684819221496582,0.5667065382003784,0.0,0.0,-0.04543686658143997,0.0393429733812809,-0.014252807945013046,-3.045508861541748,-0.006622543558478355
14,0.6978452205657959,0.5667065382003784,0.0,0.0,-0.05679403990507126,0.06359274685382843,-0.16482681035995483,-3.0379858016967773,-0.013320834375917912
15,0.7343356609344482,0.5667065382003784,0.0,0.0,-0.07323873043060303,0.06545610725879669,-0.3697012662887573,-3.0261056423187256,-0.018558762967586517
16,0.7473955154418945,0.5667065382003784,0.0,0.0,-0.09328097850084305,0.05818348005414009,-0.47599276900291443,-3.0103890895843506,-0.01726129651069641
17,0.7780237197875977,0.5667065382003784,0.0,0.0,-0.10260440409183502,0.04730992019176483,-0.5973174571990967,-2.994140148162842,-0.0099732531234622
18,0.7922039031982422,0.5667065382003784,0.0,0.0,-0.08043985068798065,0.03021637350320816,-0.5336270332336426,-2.979818344116211,-0.00299523351714015
19,0.8227865695953369,0.5667065382003784,0.0,0.0,-0.01953323557972908,0.015882156789302826,-0.092440165579319,-2.9721484184265137,-0.0014543726574629545
20,0.8378515243530273,0.5667065382003784,0.0,0.0,0.04117327556014061,-0.0008677557343617082,0.2566626965999603,-2.9758453369140625,-0.009236933663487434
21,0.8668496608734131,0.5667065382003784,0.0,0.0,0.07527784258127213,-0.02446291223168373,0.19324630498886108,-2.985836982727051,-0.02514926716685295
22,0.8792638778686523,0.5667065382003784,0.0,0.0,0.09834446012973785,-0.05372893065214157,-0.030514221638441086,-2.9930710792541504,-0.044485632330179214
23,0.907508373260498,0.5667065382003784,0.0,0.0,0.10986809432506561,-0.0763598382472992,-0.16002599895000458,-2.993985891342163,-0.06203668564558029
24,0.9203004837036133,0.5667065382003784,0.0,0.0,0.13683448731899261,-0.0758090689778328,-0.12675347924232483,-2.995734930038452,-0.07502875477075577
25,0.9492921829223633,0.5667065382003784,0.0,0.0,0.16537193953990936,-0.07279271632432938,-0.0722820982336998,-3.000918388366699,-0.08741385489702225
26,0.9657399654388428,0.5667065382003784,0.0,0.0,0.18828803300857544,-0.0722489207983017,-0.005517152603715658,-3.0081310272216797,-0.09860017150640488
27,0.9992058277130127,0.5667065382003784,0.0,0.0,0.2154625952243805,-0.07651983201503754,0.011865734122693539,-3.0126500129699707,-0.10813991725444794
28,1.0116360187530518,0.5667065382003784,0.0,0.0,0.24170301854610443,-0.0789204090833664,0.02366137132048607,-3.0128443241119385,-0.11838176846504211
29,1.0399904251098633,0.5667065382003784,0.0,0.0,0.267311155796051,-0.07395201921463013,0.03993963822722435,-3.0118162631988525,-0.127244770526886
30,1.0583040714263916,0.5667065382003784,0.0,0.0,0.2973644733428955,-0.06776022911071777,0.03539372980594635,-3.01155948638916,-0.13471873104572296
31,1.0911521911621094,0.5667065382003784,0.0,0.0,0.32882601022720337,-0.05743594095110893,-0.013855795376002789,-3.0124588012695312,-0.14204661548137665
32,1.1020548343658447,0.5667065382003784,0.0,0.0,0.3571735620498657,-0.03653779253363609,-0.030431583523750305,-3.0161237716674805,-0.1478893756866455
33,1.1341001987457275,0.5667065382003784,0.0,0.0,0.39338418841362,-0.0029027853161096573,0.07957439124584198,-3.0232110023498535,-0.15401260554790497
34,1.1463308334350586,0.5667065382003784,0.0,0.0,0.44158971309661865,0.025258075445890427,0.22990143299102783,-3.029585599899292,-0.16688986122608185
35,1.1746540069580078,0.5667065382003784,0.0,0.0,0.48963412642478943,0.042038463056087494,0.469432532787323,-3.0334725379943848,-0.1828496903181076
36,1.1856284141540527,0.5667065382003784,0.0,0.0,0.5251984000205994,0.052956804633140564,0.7135471105575562,-3.0356414318084717,-0.19411878287792206
37,1.2188587188720703,0.5667065382003784,0.0,0.0,0.5555885434150696,0.05015309154987335,0.9341405630111694,-3.034937620162964,-0.19654032588005066
38,1.232572078704834,0.5667065382003784,0.0,0.0,0.5807861685752869,0.0375482551753521,1.036531686782837,-3.0351457595825195,-0.18858060240745544
39,1.2685952186584473,0.5667065382003784,0.0,0.0,0.5857844948768616,0.0329509861767292,0.6163844466209412,-3.044574499130249,-0.1754881739616394
40,1.28745698928833,0.5667065382003784,0.0,0.0,0.5713772177696228,0.006775255315005779,0.40288224816322327,-3.050950765609741,-0.17429693043231964
41,1.3219921588897705,0.5667065382003784,0.0,0.0,0.5220959186553955,-0.036385759711265564,-0.053117163479328156,-3.054466485977173,-0.16746236383914948
42,1.3328115940093994,0.5667065382003784,0.0,0.0,0.4670585095882416,-0.07271668314933777,-0.1670556366443634,-3.054788112640381,-0.15176835656166077
43,1.367957592010498,0.5667065382003784,0.0,0.0,0.44114890694618225,-0.09675059467554092,-0.10880997031927109,-3.0516231060028076,-0.12824776768684387
44,1.381077766418457,0.5667065382003784,0.0,0.0,0.44206568598747253,-0.11077465116977692,-0.08311770856380463,-3.0471107959747314,-0.10476469248533249
45,1.4133782386779785,0.5667065382003784,0.0,0.0,0.45159536600112915,-0.12226564437150955,0.054810330271720886,-3.0447709560394287,-0.08354464173316956
46,1.4275667667388916,0.5667065382003784,0.0,0.0,0.4778147339820862,-0.12873710691928864,-0.03271960839629173,-3.0462169647216797,-0.06645316630601883
47,1.4579482078552246,0.5667065382003784,0.0,0.0,0.47599557042121887,-0.11663179099559784,-0.0875902771949768,-3.0542423725128174,-0.06204468384385109
48,1.468726396560669,0.5667065382003784,0.0,0.0,0.46751171350479126,-0.09140882641077042,0.0743916779756546,-3.061154842376709,-0.05108646675944328
49,1.4991085529327393,0.5667065382003784,0.0,0.0,0.4833582043647766,-0.06497860699892044,0.22465656697750092,-3.0647952556610107,-0.03958681970834732
50,1.5132505893707275,0.5667065382003784,0.0,0.0,0.5074269771575928,-0.03941243886947632,0.19377745687961578,-3.064375162124634,-0.0386786088347435
51,1.543332576751709,0.5667065382003784,0.0,0.0,0.5234501361846924,-0.010926994495093822,0.18312153220176697,-3.0648205280303955,-0.0445847250521183
